1 ,1 ,1 ,1
2 ,4 ,8 ,16
3 ,9 ,27 ,81
4 ,16 ,64 ,256
5 ,25 ,125 ,625
6 ,36 ,216 ,1296
7 ,49 ,343 ,2401
8 ,64 ,512 ,4096
9 ,81 ,729 ,6561
10 ,100 ,1000 ,10000
11 ,121 ,1331 ,14641
12 ,144 ,1728 ,20736
13 ,169 ,2197 ,28561
14 ,196 ,2744 ,38416
15 ,225 ,3375 ,50625
16 ,256 ,4096 ,65536
17 ,289 ,4913 ,83521
18 ,324 ,5832 ,104976
19 ,361 ,6859 ,130321
20 ,400 ,8000 ,160000
21 ,441 ,9261 ,194481
22 ,484 ,10648 ,234256
23 ,529 ,12167 ,279841
24 ,576 ,13824 ,331776
25 ,625 ,15625 ,390625
26 ,676 ,17576 ,456976
27 ,729 ,19683 ,531441
28 ,784 ,21952 ,614656
29 ,841 ,24389 ,707281
30 ,900 ,27000 ,810000
31 ,961 ,29791 ,923521
32 ,1024 ,32768 ,1048576
33 ,1089 ,35937 ,1185921
34 ,1156 ,39304 ,1336336
35 ,1225 ,42875 ,1500625
36 ,1296 ,46656 ,1679616
37 ,1369 ,50653 ,1874161
38 ,1444 ,54872 ,2085136
39 ,1521 ,59319 ,2313441
40 ,1600 ,64000 ,2560000
41 ,1681 ,68921 ,2825761
42 ,1764 ,74088 ,3111696
43 ,1849 ,79507 ,3418801
44 ,1936 ,85184 ,3748096
45 ,2025 ,91125 ,4100625
46 ,2116 ,97336 ,4477456
47 ,2209 ,103823 ,4879681
48 ,2304 ,110592 ,5308416
49 ,2401 ,117649 ,5764801
50 ,2500 ,125000 ,6250000
51 ,2601 ,132651 ,6765201
52 ,2704 ,140608 ,7311616
53 ,2809 ,148877 ,7890481
54 ,2916 ,157464 ,8503056
55 ,3025 ,166375 ,9150625
56 ,3136 ,175616 ,9834496
57 ,3249 ,185193 ,10556001
58 ,3364 ,195112 ,11316496
59 ,3481 ,205379 ,12117361
60 ,3600 ,216000 ,12960000
61 ,3721 ,226981 ,13845841
62 ,3844 ,238328 ,14776336
63 ,3969 ,250047 ,15752961
64 ,4096 ,262144 ,16777216
65 ,4225 ,274625 ,17850625
66 ,4356 ,287496 ,18974736
67 ,4489 ,300763 ,20151121
68 ,4624 ,314432 ,21381376
69 ,4761 ,328509 ,22667121
70 ,4900 ,343000 ,24010000
71 ,5041 ,357911 ,25411681
72 ,5184 ,373248 ,26873856
73 ,5329 ,389017 ,28398241
74 ,5476 ,405224 ,29986576
75 ,5625 ,421875 ,31640625
76 ,5776 ,438976 ,33362176
77 ,5929 ,456533 ,35153041
78 ,6084 ,474552 ,37015056
79 ,6241 ,493039 ,38950081
80 ,6400 ,512000 ,40960000
81 ,6561 ,531441 ,43046721
82 ,6724 ,551368 ,45212176
83 ,6889 ,571787 ,47458321
84 ,7056 ,592704 ,49787136
85 ,7225 ,614125 ,52200625
86 ,7396 ,636056 ,54700816
87 ,7569 ,658503 ,57289761
88 ,7744 ,681472 ,59969536
89 ,7921 ,704969 ,62742241
90 ,8100 ,729000 ,65610000
91 ,8281 ,753571 ,68574961
92 ,8464 ,778688 ,71639296
93 ,8649 ,804357 ,74805201
94 ,8836 ,830584 ,78074896
95 ,9025 ,857375 ,81450625
96 ,9216 ,884736 ,84934656
97 ,9409 ,912673 ,88529281
98 ,9604 ,941192 ,92236816
99 ,9801 ,970299 ,96059601
100 ,10000 ,1000000 ,100000000
101 ,10201 ,1030301 ,104060401
102 ,10404 ,1061208 ,108243216
103 ,10609 ,1092727 ,112550881
104 ,10816 ,1124864 ,116985856
105 ,11025 ,1157625 ,121550625
106 ,11236 ,1191016 ,126247696
107 ,11449 ,1225043 ,131079601
108 ,11664 ,1259712 ,136048896
109 ,11881 ,1295029 ,141158161
110 ,12100 ,1331000 ,146410000
111 ,12321 ,1367631 ,151807041
112 ,12544 ,1404928 ,157351936
113 ,12769 ,1442897 ,163047361
114 ,12996 ,1481544 ,168896016
115 ,13225 ,1520875 ,174900625
116 ,13456 ,1560896 ,181063936
117 ,13689 ,1601613 ,187388721
118 ,13924 ,1643032 ,193877776
119 ,14161 ,1685159 ,200533921
120 ,14400 ,1728000 ,207360000
121 ,14641 ,1771561 ,214358881
122 ,14884 ,1815848 ,221533456
123 ,15129 ,1860867 ,228886641
124 ,15376 ,1906624 ,236421376
125 ,15625 ,1953125 ,244140625
126 ,15876 ,2000376 ,252047376
127 ,16129 ,2048383 ,260144641
128 ,16384 ,2097152 ,268435456
129 ,16641 ,2146689 ,276922881
130 ,16900 ,2197000 ,285610000
131 ,17161 ,2248091 ,294499921
132 ,17424 ,2299968 ,303595776
133 ,17689 ,2352637 ,312900721
134 ,17956 ,2406104 ,322417936
135 ,18225 ,2460375 ,332150625
136 ,18496 ,2515456 ,342102016
137 ,18769 ,2571353 ,352275361
138 ,19044 ,2628072 ,362673936
139 ,19321 ,2685619 ,373301041
140 ,19600 ,2744000 ,384160000
141 ,19881 ,2803221 ,395254161
142 ,20164 ,2863288 ,406586896
143 ,20449 ,2924207 ,418161601
144 ,20736 ,2985984 ,429981696
145 ,21025 ,3048625 ,442050625
146 ,21316 ,3112136 ,454371856
147 ,21609 ,3176523 ,466948881
148 ,21904 ,3241792 ,479785216
149 ,22201 ,3307949 ,492884401
150 ,22500 ,3375000 ,506250000
151 ,22801 ,3442951 ,519885601
152 ,23104 ,3511808 ,533794816
153 ,23409 ,3581577 ,547981281
154 ,23716 ,3652264 ,562448656
155 ,24025 ,3723875 ,577200625
156 ,24336 ,3796416 ,592240896
157 ,24649 ,3869893 ,607573201
158 ,24964 ,3944312 ,623201296
159 ,25281 ,4019679 ,639128961
160 ,25600 ,4096000 ,655360000
161 ,25921 ,4173281 ,671898241
162 ,26244 ,4251528 ,688747536
163 ,26569 ,4330747 ,705911761
164 ,26896 ,4410944 ,723394816
165 ,27225 ,4492125 ,741200625
166 ,27556 ,4574296 ,759333136
167 ,27889 ,4657463 ,777796321
168 ,28224 ,4741632 ,796594176
169 ,28561 ,4826809 ,815730721
170 ,28900 ,4913000 ,835210000
171 ,29241 ,5000211 ,855036081
172 ,29584 ,5088448 ,875213056
173 ,29929 ,5177717 ,895745041
174 ,30276 ,5268024 ,916636176
175 ,30625 ,5359375 ,937890625
176 ,30976 ,5451776 ,959512576
177 ,31329 ,5545233 ,981506241
178 ,31684 ,5639752 ,1003875856
179 ,32041 ,5735339 ,1026625681
180 ,32400 ,5832000 ,1049760000
181 ,32761 ,5929741 ,1073283121
182 ,33124 ,6028568 ,1097199376
183 ,33489 ,6128487 ,1121513121
184 ,33856 ,6229504 ,1146228736
185 ,34225 ,6331625 ,1171350625
186 ,34596 ,6434856 ,1196883216
187 ,34969 ,6539203 ,1222830961
188 ,35344 ,6644672 ,1249198336
189 ,35721 ,6751269 ,1275989841
190 ,36100 ,6859000 ,1303210000
191 ,36481 ,6967871 ,1330863361
192 ,36864 ,7077888 ,1358954496
193 ,37249 ,7189057 ,1387488001
194 ,37636 ,7301384 ,1416468496
195 ,38025 ,7414875 ,1445900625
196 ,38416 ,7529536 ,1475789056
197 ,38809 ,7645373 ,1506138481
198 ,39204 ,7762392 ,1536953616
199 ,39601 ,7880599 ,1568239201
200 ,40000 ,8000000 ,1600000000
201 ,40401 ,8120601 ,1632240801
202 ,40804 ,8242408 ,1664966416
203 ,41209 ,8365427 ,1698181681
204 ,41616 ,8489664 ,1731891456
205 ,42025 ,8615125 ,1766100625
206 ,42436 ,8741816 ,1800814096
207 ,42849 ,8869743 ,1836036801
208 ,43264 ,8998912 ,1871773696
209 ,43681 ,9129329 ,1908029761
210 ,44100 ,9261000 ,1944810000
211 ,44521 ,9393931 ,1982119441
212 ,44944 ,9528128 ,2019963136
213 ,45369 ,9663597 ,2058346161
214 ,45796 ,9800344 ,2097273616
215 ,46225 ,9938375 ,2136750625
216 ,46656 ,10077696 ,2176782336
217 ,47089 ,10218313 ,2217373921
218 ,47524 ,10360232 ,2258530576
219 ,47961 ,10503459 ,2300257521
220 ,48400 ,10648000 ,2342560000
221 ,48841 ,10793861 ,2385443281
222 ,49284 ,10941048 ,2428912656
223 ,49729 ,11089567 ,2472973441
224 ,50176 ,11239424 ,2517630976
225 ,50625 ,11390625 ,2562890625
226 ,51076 ,11543176 ,2608757776
227 ,51529 ,11697083 ,2655237841
228 ,51984 ,11852352 ,2702336256
229 ,52441 ,12008989 ,2750058481
230 ,52900 ,12167000 ,2798410000
231 ,53361 ,12326391 ,2847396321
232 ,53824 ,12487168 ,2897022976
233 ,54289 ,12649337 ,2947295521
234 ,54756 ,12812904 ,2998219536
235 ,55225 ,12977875 ,3049800625
236 ,55696 ,13144256 ,3102044416
237 ,56169 ,13312053 ,3154956561
238 ,56644 ,13481272 ,3208542736
239 ,57121 ,13651919 ,3262808641
240 ,57600 ,13824000 ,3317760000
241 ,58081 ,13997521 ,3373402561
242 ,58564 ,14172488 ,3429742096
243 ,59049 ,14348907 ,3486784401
244 ,59536 ,14526784 ,3544535296
245 ,60025 ,14706125 ,3603000625
246 ,60516 ,14886936 ,3662186256
247 ,61009 ,15069223 ,3722098081
248 ,61504 ,15252992 ,3782742016
249 ,62001 ,15438249 ,3844124001
250 ,62500 ,15625000 ,3906250000
251 ,63001 ,15813251 ,3969126001
252 ,63504 ,16003008 ,4032758016
253 ,64009 ,16194277 ,4097152081
254 ,64516 ,16387064 ,4162314256
255 ,65025 ,16581375 ,4228250625
256 ,65536 ,16777216 ,4294967296
257 ,66049 ,16974593 ,4362470401
258 ,66564 ,17173512 ,4430766096
259 ,67081 ,17373979 ,4499860561
260 ,67600 ,17576000 ,4569760000
261 ,68121 ,17779581 ,4640470641
262 ,68644 ,17984728 ,4711998736
263 ,69169 ,18191447 ,4784350561
264 ,69696 ,18399744 ,4857532416
265 ,70225 ,18609625 ,4931550625
266 ,70756 ,18821096 ,5006411536
267 ,71289 ,19034163 ,5082121521
268 ,71824 ,19248832 ,5158686976
269 ,72361 ,19465109 ,5236114321
270 ,72900 ,19683000 ,5314410000
271 ,73441 ,19902511 ,5393580481
272 ,73984 ,20123648 ,5473632256
273 ,74529 ,20346417 ,5554571841
274 ,75076 ,20570824 ,5636405776
